Material,Form,Name,Color desc,Color,,#Forms,Name,Phase
Accretium,Solid,Accretium,Radiant Heat-Red,FC5D00,,,Solid,Solid
Aethenol,Solid,Aethenol Ice,Dirty Yellow,B9A777,,,Liquid,Liquid
Aethenol,Liquid,Aethenol,Dingy Yellow,F9F7B7,,,Slurry,Liquid
Aether,Solid,Aether,Faint Iridescent White,F8F8FF,,,,
Agarium,Solid,Agarium,Slimy Green,4F7942,,,,
Biochitin,Solid,Biochitin,Pale Orange,FCDDD5,,#TODO: Color inheritance? Name inheritance? nah for names just find and replace that shi,,
Bioresin,Solid,Bioresin,Organic Greenish Brown,6B8E23,,,,
Carbonate,Slurry,Carbonate Slurry,Dark Gray,2F2F2F,,,,
Carbonate,Liquid,Carbonate Slurry,Molten Glow,FFAF31,,,,
Carbonate,Solid,Carbonate,Dark Gray,2F2F2F,,,,
Dead Biomatter,Solid,Dead Biomatter,Rotten Gray,5F5252,,,,
Embrium Ore,Slurry,Embrium Slurry,Subdued Light Green,A8C686,,,,
Embrium Ore,Liquid,Embrium Slurry,Molten Glow,FFAF35,,,,
Embrium Ore,Solid,Embrium Ore,Subdued Light Green,A8C686,, ,,
Emsteel,Slurry,Emsteel Scrap,Bright Greenish Gray,B2C2B2,,,,
Emsteel,Liquid,Molten Emsteel,Molten Glow,FFAF40,,,,
Emsteel,Solid,Emsteel,Bright Greenish Gray,B2C2B2,,,,
Ferrosteel,Slurry,Ferrosteel Scrap,Reddish Gray,995858,,,,
Ferrosteel,Liquid,Molten Ferrosteel,Molten Glow,FFAF37,,,,
Ferrosteel,Solid,Ferrosteel,Reddish Gray,995858,,#Isnt this color a consequence of the temperature of the material?,,
Ferrous Ore,Slurry,Ferrous Slurry,Rusty Red,8B3A3A,,,,
Ferrous Ore,Liquid,Ferrous Slurry,Molten Glow,FFAF32,,,,
Ferrous Ore,Solid,Ferrous Ore,Rusty Red,8B3A3A,,,,
Glass,Slurry,Glass Shards,Clear,FFFFFF,,,,
Glass,Liquid,Molten Glass,Clear Molten Glow,FFCF74,,,,
Glass,Solid,Glass,Clear,FFFFFF,,,,
Homogenized Scrapium,Slurry,Homogenized Scrap,Dull Violet,8F6F8F,,,,
Homogenized Scrapium,Liquid,Molten Scrapium,Molten Glow,FFAF43,,,,
Homogenized Scrapium,Solid,Homogenized Scrapium,Dull Violet,8F6F8F,,,,
Informata,Solid,Informata,Pure Gray,808080,, ,,
Lumisteel,Slurry,Lumisteel Scrap,Bluish Gray,49768D,,,,
Lumisteel,Liquid,Molten Lumisteel,Molten Glow,FFAF38,,,,
Lumisteel,Solid,Lumisteel,Bluish Gray,49768D,,,,
Lumite Ore,Slurry,Lumite Slurry,Pale Blue,96D3F7,,,,
Lumite Ore,Liquid,Lumite Slurry,Molten Glow,FFAF33,,,,
Lumite Ore,Solid,Lumite Ore,Pale Blue,96D3F7,,,,
Neuromatter,Solid,Neuromatter,Meaty Pink,E37383,,,,
Neutronium,Solid,Neutronium,Dark Blue,00008B,,,,
Nullformata,Solid,Nullformata,Dark reddish Gray,906060,,,,
Oracle,Solid,Oracle,Deep Cosmic Blue,191970,,,,
Organizational Tissue,Solid,Organizational Tissue,Sinewy Red,B22222,,,,
Persistent Shield Residue,Solid,Persistent Shield Residue,Fading Magenta,C71585,,,,
Polycarbonate,Solid,Polycarbonate,Light Blue,ADD8E6,,,,
Pulp,Slurry,Pulp,Rotten Meaty Gray,8F6262,,,,
Quartzium,Slurry,Quartzium Shards,Brilliantly Clear,FFFFFF,,,,
Quartzium,Liquid,Molten Quartz,Clear Molten Glow,FFCF75,,,,
Quartzium,Solid,Quartzium,Brilliantly Clear,FFFFFF,,,,
Silicate,Slurry,Silicate Slurry,Greenish Gray,9CAEA9,,,,
Silicate,Liquid,Silicate Slurry,Molten Glow,FFAF30,,,,
Silicate,Solid,Silicate,Greenish Gray,9CAEA9,,,,
Singularity,Solid,Singularity,Pure Black,000000,,,,
Undefined Metallurgic Output,Slurry,Undefined Scrap,Unidentifiable,6F5858,,,,
Undefined Metallurgic Output,Liquid,Molten Undefined Metallurgic Output,Molten Glow,FFAF42,,,,
Undefined Metallurgic Output,Solid,Undefined Metallurgic Output,Unidentifiable,6F5858,,,,
Uranium Ore,Slurry,Uranium Slurry,Radiant Purple,A020F0,,,,
Uranium Ore,Liquid,Uranium Slurry,Molten Glow,FFAF36,,,,
Uranium Ore,Solid,Uranium Ore,Radiant Purple,A020F0,,,,
Uranium Steel,Slurry,Uranium Scrap,Purplish Gray,844A87,,,,
Uranium Steel,Liquid,Molten Uranium,Molten Glow,FFAF41,,,,
Uranium Steel,Solid,Uranium Steel,Purplish Gray,844A87,,,,
Water,Solid,Water Ice,Cool Blue,A9F7F7,,,,
Water,Liquid,Water,Watery Blue,79D7F7,,,,
Wolfram Ore,Slurry,Wolfram Slurry,Deep Amber,FFBF00,,,,
Wolfram Ore,Liquid,Wolfram Slurry,Molten Glow,FFAF34,,,,
Wolfram Ore,Solid,Wolfram Ore,Deep Amber,FFBF00,,,,
Wolfsteel,Slurry,Wolfsteel Scrap,Amber Gray,A0855F,,,,
Wolfsteel,Liquid,Molten Wolfsteel,Molten Glow,FFAF39,,,,
Wolfsteel,Solid,Wolfsteel,Amber Gray,A0855F,,,,
