Name,Property,Amount,(Auto) Prefix,(Auto) Name,,,,Name,Form,Property,Amount
Accretium,dense,2,Super,dense,,,#Overrides - will implement later if necessary,,,,
Aethenol,flexible,-1,,brittle,,,,,,,
Aethenol,strong,-1,,weak,,,,,,,
Aether,dense,-3,Mega,light,,,,,,,
Aether,flexible,4,Giga,flexible,,,,,,,
Aether,transluscent,2,Super,transluscent,,,,,,,
Agarium,flexible,3,Mega,flexible,,,,,,,
Agarium,strong,-2,Super,weak,,,,,,,
Biochitin,strong,4,Giga,strong,,,,,,,
Bioresin,sticky,2,Super,sticky,,,,,,,
Bioresin,strong,3,Mega,strong,,,,,,,
Bioresin,transluscent,1,,transluscent,,,,,,,
Carbonate,strong,1,,strong,,,,,,,
Dead Biomatter,sticky,1,,sticky,,,,,,,
Dead Biomatter,strong,-1,,weak,,,,,,,
Embrium Ore,strong,1,,strong,,,,,,,
Emsteel,dense,-1,,light,,,,,,,
Emsteel,flexible,1,,flexible,,,,,,,
Ferrosteel,dense,1,,dense,,,,,,,
Ferrosteel,flexible,1,,flexible,,,,,,,
Ferrosteel,magnetic,,,magnetic,,,,,,,
Ferrosteel,strong,1,,strong,,,,,,,
Ferrous Ore,magnetic,,,magnetic,,,,,,,
Glass,flexible,-2,Super,brittle,,,,,,,
Glass,shiny,1,,shiny,,,,,,,
Glass,transluscent,3,Mega,transluscent,,,,,,,
Homogenized Scrapium,strong,1,,strong,,,,,,,
Lumisteel,flexible,1,,flexible,,,,,,,
Lumisteel,shiny,1,,shiny,,,,,,,
Lumisteel,strong,1,,strong,,,,,,,
Neuromatter,flexible,2,Super,flexible,,,,,,,
Neuromatter,strong,-2,Super,weak,,,,,,,
Neutronium,dense,3,Mega,dense,,,,,,,
Neutronium,radioactive,,,radioactive,,,,,,,
Neutronium,strong,3,Mega,strong,,,,,,,
Oracle,dense,2,Super,dense,,,,,,,
Oracle,shiny,4,Giga,shiny,,,,,,,
Persistent Shield Residue,dense,-3,Mega,light,,,,,,,
Persistent Shield Residue,shiny,2,Super,shiny,,,,,,,
Persistent Shield Residue,strong,1,,strong,,,,,,,
Polycarbonate,dense,-2,Super,light,,,,,,,
Polycarbonate,flexible,2,Super,flexible,,,,,,,
Polycarbonate,strong,-1,,weak,,,,,,,
Quartzium,dense,1,,dense,,,,,,,
Quartzium,shiny,2,Super,shiny,,,,,,,
Quartzium,strong,3,Mega,strong,,,,,,,
Quartzium,transluscent,3,Mega,transluscent,,,,,,,
Singularity,dense,5,Tera,dense,,,,,,,
Undefined Metallurgic Output,strong,1,,strong,,,,,,,
Uranium Ore,radioactive,,,radioactive,,,,,,,
Uranium Steel,dense,1,,dense,,,,,,,
Uranium Steel,radioactive,,,radioactive,,,,,,,
Uranium Steel,strong,1,,strong,,,,,,,
Water,dense,-1,,light,,,,,,,
Water,flexible,-1,,brittle,,#WHere is inheritance defined?,,,,,
Water,flexible,-1,,brittle,,#Here I should hope.,,,,,
Water,strong,-1,,weak,,,,,,,
Water,strong,-1,,weak,,,,,,,
Wolfsteel,dense,2,Super,dense,,,,,,,
Wolfsteel,strong,2,Super,strong,,,,,,,
